Step,Divine,Noise,Elapsed,Rate
5000,5001,5002,3126,1.6
10000,10001,10002,4596,2.2
15000,15001,15002,6072,2.5
20000,20001,20002,7582,2.6
25000,25001,25002,9228,2.7
30000,30001,30002,10694,2.8
35000,35001,35002,12310,2.8
40000,40001,40002,14010,2.9
45000,45001,45002,16258,2.8
50000,50001,50002,17719,2.8
55000,55001,55002,19684,2.8
60000,60001,60002,21544,2.8
65000,65001,65002,23229,2.8
70000,70001,70002,24688,2.8
75000,75001,75002,26105,2.9
80000,80001,80002,27454,2.9
85000,85001,85002,28836,2.9
90000,90001,90002,30216,3.0
95000,95001,95002,31568,3.0
100000,100001,100002,32946,3.0
